"no","i","region_JP","region_EN","prec_no","block_no","latitude","longitude","altitude","data_type"
343,23,"湯沢","yuzawa",32,"0202",39.1866666666667,140.463333333333,74,"a"
344,24,"姥井戸山","ubaidoyama",32,"0203",39.0933333333333,140.335,690,"a"
345,25,"湯の岱","yunotai",32,"0204",38.96,140.528333333333,335,"a"
346,26,"大館","oodate",32,"0912",40.2516666666667,140.505,49,"a"
347,27,"大潟","daikata",32,"1035",40,139.95,-3,"a"
348,28,"男鹿","oga",32,"1036",39.9116666666667,139.9,20,"a"
349,29,"八森","hachimori",32,"1043",40.4133333333333,139.948333333333,34,"a"
350,30,"大正寺","taishoutera",32,"1050",39.5266666666667,140.233333333333,20,"a"
351,31,"東成瀬","higashinaruse",32,"1109",39.1783333333333,140.648333333333,191,"a"
352,32,"比立内","hiritsunai",32,"1115",39.9033333333333,140.45,210,"a"
353,33,"東由利","higashiyuri",32,"1117",39.305,140.288333333333,117,"a"
354,34,"阿仁合","ahitoshigou",32,"1131",39.9933333333333,140.403333333333,120,"a"
355,35,"鎧畑","yoroihatake",32,"1167",39.775,140.665,281,"a"
356,36,"藤里","fujisato",32,"1273",40.32,140.293333333333,68,"a"
357,37,"桧木内","hinokikiuchi",32,"1278",39.8116666666667,140.585,255,"a"
358,38,"八幡平","hachimantai",32,"1289",40.0133333333333,140.801666666667,578,"a"
359,39,"笹子","sasako",32,"1407",39.1033333333333,140.293333333333,200,"a"
360,40,"藤原","fujiwara",32,"1408",40.355,140.78,280,"a"
361,41,"男鹿真山","ogamayama",32,"1422",39.9383333333333,139.781666666667,84,"a"
362,42,"仁別","hitoshibetsu",32,"1425",39.8,140.216666666667,179,"a"
363,43,"脇神","wakikami",32,"1463",40.1916666666667,140.371666666667,84,"a"
364,44,"雄和","osuwa",32,"1511",39.615,140.218333333333,91,"a"
365,45,"田沢湖高原","tazawakokougen",32,"1652",39.7783333333333,140.761666666667,652,"a"
366,1,"種市","taneshi",33,"0205",40.4033333333333,141.7,70,"a"
367,2,"軽米","keikome",33,"0206",40.3166666666667,141.473333333333,153,"a"
368,3,"二戸","ninohe",33,"0207",40.2983333333333,141.298333333333,87,"a"
369,4,"折爪岳","oritsumegaku",33,"0208",40.2633333333333,141.375,844,"a"
370,5,"久慈","kuji",33,"0209",40.1683333333333,141.748333333333,13,"a"
371,6,"西岳","nishidake",33,"0210",40.0833333333333,141.173333333333,1008,"a"
372,7,"葛巻","kuzukan",33,"0211",40.04,141.456666666667,418,"a"
373,8,"袖山","sodeyama",33,"0212",40.025,141.525,1144,"a"
374,9,"茶臼岳","chausugaku",33,"0213",39.945,140.905,1443,"a"
375,10,"岩手松尾","iwatematsuo",33,"0214",39.9516666666667,141.065,275,"a"
376,11,"岩手山","iwateyama",33,"0215",39.84,140.95,1403,"a"
377,12,"岩洞","iwahora",33,"0216",39.825,141.375,678,"a"
378,13,"大森山","oomoriyama",33,"0217",39.8183333333333,141.52,1073,"a"
379,14,"岩泉","iwaizumi",33,"0218",39.8466666666667,141.795,105,"a"
380,15,"駒ケ岳","komakegaku",33,"0219",39.7333333333333,140.791666666667,1003,"a"
381,16,"害鷹森","gaitakamori",33,"0220",39.7083333333333,141.603333333333,1278,"a"
382,17,"雫石","shizukuishi",33,"0221",39.6966666666667,140.975,195,"a"
383,18,"盛岡","morioka",33,"47584",39.6983333333333,141.165,155.2,"s"
384,19,"宮古","miyako",33,"47585",39.6466666666667,141.965,42.5,"s"
385,20,"薬師岳","yakushidake",33,"0224",39.5283333333333,141.496666666667,1604,"a"
386,21,"黒森山","kuromoriyama",33,"0225",39.495,140.791666666667,644,"a"
387,22,"豊沢","toyosawa",33,"0226",39.48,140.968333333333,300,"a"
388,23,"花巻","hanamaki",33,"0227",39.4283333333333,141.135,90,"a"
389,24,"大迫","oosako",33,"0228",39.47,141.278333333333,150,"a"
390,25,"湯田","yuda",33,"0229",39.31,140.776666666667,250,"a"
391,26,"北上","kitakami",33,"0230",39.2883333333333,141.11,61,"a"
392,27,"遠野","toono",33,"0231",39.3383333333333,141.543333333333,275,"a"
393,28,"五葉山","gohayama",33,"0232",39.1766666666667,141.661666666667,560,"a"
394,29,"釜石","kamaishi",33,"0233",39.27,141.878333333333,5,"a"
395,30,"岳山","gakuyama",33,"0234",39.1333333333333,140.876666666667,973,"a"
396,31,"若柳","wakayanagi",33,"0235",39.14,141.063333333333,97,"a"
397,32,"江刺","esashi",33,"0236",39.1833333333333,141.161666666667,42,"a"
398,33,"大船渡","oofunato",33,"47512",39.0633333333333,141.713333333333,36.9,"s"
399,34,"一関","ichinoseki",33,"0238",38.9333333333333,141.125,32,"a"
400,35,"千厩","senumaya",33,"0239",38.9216666666667,141.33,120,"a"
401,36,"室根山","shitsuneyama",33,"0240",38.97,141.45,883,"a"
402,37,"祭畤","matsuriji",33,"1028",39.0116666666667,140.865,350,"a"
403,38,"好摩","kouma",33,"1032",39.8683333333333,141.166666666667,205,"a"
404,39,"山田","yamada",33,"1033",39.45,141.956666666667,24,"a"
405,40,"大野","oono",33,"1037",40.2816666666667,141.666666666667,200,"a"
406,41,"衣川","kinukawa",33,"1045",39.05,141.045,75,"a"
407,42,"薮川","yabukawa",33,"1078",39.7833333333333,141.328333333333,680,"a"
408,43,"米里","komesato",33,"1113",39.2333333333333,141.31,170,"a"
409,44,"沢内","sawauchi",33,"1118",39.48,140.796666666667,327,"a"
410,45,"荒屋","kouya",33,"1120",40.1033333333333,141.05,290,"a"
411,46,"普代","fudai",33,"1123",40.0033333333333,141.883333333333,8,"a"
412,47,"紫波","shiwa",33,"1128",39.5466666666667,141.126666666667,125,"a"
413,48,"葛根田","kuzuneta",33,"1168",39.7766666666667,140.945,350,"a"
414,49,"住田","juuta",33,"1206",39.1416666666667,141.573333333333,80,"a"
415,50,"小本","shouhon",33,"1212",39.8466666666667,141.963333333333,3,"a"
416,51,"奥中山","okunakayama",33,"1215",40.06,141.225,430,"a"
417,52,"山形","yamagata",33,"1219",40.1483333333333,141.571666666667,290,"a"
418,53,"川井","kawai",33,"1224",39.5983333333333,141.681666666667,192,"a"
419,54,"門馬","monma",33,"1225",39.6333333333333,141.436666666667,620,"a"
420,55,"下戸鎖","gekokusari",33,"1332",40.0833333333333,141.711666666667,239,"a"
421,56,"区界","kukai",33,"1447",39.65,141.353333333333,760,"a"
422,57,"大槌","daitsuchi",33,"1508",39.4383333333333,141.806666666667,120,"a"
423,58,"大東","daitou",33,"1557",39.0383333333333,141.296666666667,140,"a"
424,59,"金ヶ崎","kinsaki",33,"1558",39.225,141.015,170,"a"
425,60,"滝沢","takizawa",33,"1560",39.78,141.096666666667,210,"a"
426,61,"附馬牛","fuumaushi",33,"1563",39.4566666666667,141.506666666667,440,"a"
427,62,"厳美","genbi",33,"1598",38.9833333333333,140.911666666667,230,"a"
428,63,"刈屋","kariya",33,"1627",39.6416666666667,141.773333333333,140,"a"
429,64,"新町","shinmachi",33,"1628",39.36,141.906666666667,2,"a"
430,65,"陸前高田","rikuzentakata",33,"1629",39.025,141.63,61,"a"
431,66,"一方井","ippoui",33,"1653",39.9733333333333,141.166666666667,285,"a"
432,1,"栗駒山","kurikomayama",34,"0241",38.945,140.803333333333,1100,"a"
433,2,"気仙沼","kesennuma",34,"0242",38.9066666666667,141.556666666667,62,"a"
434,3,"川渡","kawatabi",34,"0243",38.7433333333333,140.76,170,"a"
435,4,"築館","tsukidate",34,"0244",38.735,141.005,25,"a"
436,5,"箕輪山","minowayama",34,"0245",38.6633333333333,140.64,680,"a"
437,6,"志津川","shizugawa",34,"0246",38.6816666666667,141.448333333333,39,"a"
438,7,"古川","furukawa",34,"0247",38.5983333333333,140.911666666667,28,"a"
439,8,"大衡","daikou",34,"0248",38.4733333333333,140.888333333333,57,"a"
440,9,"鹿島台","kashimadai",34,"0249",38.46,141.091666666667,3,"a"
441,10,"石巻","ishinomaki",34,"47592",38.4266666666667,141.298333333333,42.5,"s"
442,11,"新川","shinkawa",34,"0251",38.3033333333333,140.636666666667,265,"a"
443,12,"鷹巣山","takasuyama",34,"0252",38.2633333333333,140.591666666667,705,"a"
444,13,"仙台","sendai",34,"47590",38.2616666666667,140.896666666667,38.9,"s"
445,14,"川崎","kawasaki",34,"0254",38.1783333333333,140.635,200,"a"
446,15,"不忘山","fubouyama",34,"0255",38.0716666666667,140.501666666667,1050,"a"
447,16,"白石","shiroishi",34,"0256",38.015,140.611666666667,86,"a"
448,17,"亘理","watari",34,"0257",38.025,140.858333333333,4,"a"
449,18,"雄勝","okatsu",34,"0985",38.5216666666667,141.47,5,"a"
450,19,"米山","yoneyama",34,"1029",38.6266666666667,141.188333333333,5,"a"
451,20,"塩釜","shiogama",34,"1030",38.3383333333333,141.013333333333,105,"a"
452,21,"駒ノ湯","komanoyu",34,"1126",38.9133333333333,140.828333333333,525,"a"
453,22,"丸森","marumori",34,"1220",37.9316666666667,140.778333333333,18,"a"
454,23,"花山","hanayama",34,"1267",38.7733333333333,140.866666666667,150,"a"
455,24,"江ノ島","kounoshima",34,"1290",38.3983333333333,141.596666666667,40,"a"
456,25,"筆甫","fudesuke",34,"1298",37.8266666666667,140.728333333333,305,"a"
457,26,"泉ケ岳","izumikegaku",34,"1365",38.4066666666667,140.721666666667,630,"a"
458,27,"名取","natori",34,"1464",38.1383333333333,140.916666666667,2,"a"
459,28,"鴬沢","uguisusawa",34,"1526",38.805,140.948333333333,33,"a"
460,29,"加美","kami",34,"1561",38.5716666666667,140.726666666667,195,"a"
461,30,"蔵王","zaou",34,"1564",38.1266666666667,140.68,112,"a"
462,31,"栗駒深山","kurikomamiyama",34,"1597",38.8633333333333,140.843333333333,550,"a"
463,32,"栗駒","kurikoma",34,"1600",38.94,140.816666666667,850,"a"
464,33,"女川","megawa",34,"1626",38.4533333333333,141.44,35,"a"
465,34,"桃生","monoo",34,"1630",38.56,141.245,5,"a"
466,35,"東松島","higashimatsushima",34,"1631",38.4266666666667,141.213333333333,4,"a"
467,36,"岩沼","iwanuma",34,"1632",38.1066666666667,140.876666666667,4,"a"
468,1,"鳥海山","choukaisan",35,"0258",39.0666666666667,140.036666666667,1199,"a"
469,2,"酒田","sakata",35,"47587",38.9083333333333,139.843333333333,3.1,"s"
470,3,"差首鍋","sakubinabe",35,"0260",38.9183333333333,140.2,88,"a"
471,4,"太平山","taiheizan",35,"0261",38.9016666666667,140.385,509,"a"
472,5,"金山","kanayama",35,"0262",38.8783333333333,140.331666666667,170,"a"
473,6,"鶴岡","tsuruoka",35,"0263",38.735,139.828333333333,16,"a"
474,7,"狩川","karikawa",35,"0264",38.8,139.973333333333,17,"a"
475,8,"新庄","shinjou",35,"47520",38.7566666666667,140.311666666667,105.1,"s"
476,9,"瀬見","seken",35,"0266",38.755,140.413333333333,150,"a"
477,10,"温海岳","atsumigaku",35,"0267",38.6283333333333,139.63,620,"a"
478,11,"櫛引","kushibiki",35,"0268",38.6716666666667,139.848333333333,33,"a"
479,12,"月山","gassan",35,"0269",38.4983333333333,140.101666666667,770,"a"
480,13,"銀山","ginzan",35,"0270",38.5616666666667,140.526666666667,440,"a"
481,14,"楯岡","tateoka",35,"0271",38.4733333333333,140.398333333333,118,"a"
482,15,"左沢","hidarisawa",35,"0272",38.37,140.191666666667,133,"a"
483,16,"山形","yamagata",35,"47588",38.255,140.345,152.5,"s"
484,17,"葉山","hayama",35,"0274",38.1616666666667,139.981666666667,970,"a"
485,18,"長井","nagai",35,"0275",38.105,140.015,210,"a"
486,19,"蔵王山","zaouyama",35,"0276",38.1566666666667,140.433333333333,1660,"a"
487,20,"小国","shoukoku",35,"0277",38.0783333333333,139.735,140,"a"
488,21,"高峰","kouhou",35,"0278",37.9983333333333,139.956666666667,250,"a"
489,22,"米沢","yonezawa",35,"0279",37.9116666666667,140.143333333333,245,"a"
490,23,"西吾妻山","nishiazumayama",35,"0280",37.7666666666667,140.138333333333,1530,"a"
491,24,"向町","koumachi",35,"0910",38.7583333333333,140.516666666667,212,"a"
492,25,"上草津","uekusatsu",35,"1038",38.995,140.028333333333,178,"a"
493,26,"尾花沢","obanazawa",35,"1039",38.6083333333333,140.411666666667,106,"a"
494,27,"鼠ケ関","nezumikekan",35,"1040",38.5666666666667,139.551666666667,18,"a"
495,28,"山毛欅潰山","yamakekeyakitsubusuyama",35,"1103",37.9116666666667,139.815,890,"a"
496,29,"肘折","hijiori",35,"1125",38.6066666666667,140.163333333333,330,"a"
497,30,"高畠","takahata",35,"1132",38.0033333333333,140.206666666667,220,"a"
498,31,"落合","ochiai",35,"1169",38.605,139.835,99,"a"
499,32,"飛島","tobishima",35,"1291",39.1833333333333,139.543333333333,58,"a"
500,33,"大井沢","ooisawa",35,"1292",38.39,139.993333333333,440,"a"
501,34,"荒沢","arasawa",35,"1357",38.5066666666667,139.781666666667,273,"a"
502,35,"中津川","nakatsugawa",35,"1372",37.91,139.843333333333,390,"a"
503,36,"白鷹山","shirotakayama",35,"1428",38.2216666666667,140.185,860,"a"
504,37,"浜中","hamanaka",35,"1465",38.8116666666667,139.786666666667,22,"a"
505,38,"東根","higashine",35,"1488",38.4116666666667,140.37,105,"a"
506,39,"村山","murayama",35,"1539",38.46,140.348333333333,80,"a"
507,40,"上山中山","ueyamanakayama",35,"1562",38.1166666666667,140.213333333333,270,"a"
508,1,"浪江","namie",36,"0295",37.4916666666667,140.965,47,"a"
509,2,"小野新町","onoshinmachi",36,"0304",37.2866666666667,140.625,433,"a"
510,3,"広野","kouya",36,"1034",37.2333333333333,141,43,"a"
511,4,"川内","kawauchi",36,"1129",37.3366666666667,140.808333333333,410,"a"
512,5,"相馬","souma",36,"0285",37.7833333333333,140.925,9,"a"
513,6,"郡山","kouriyama",36,"0299",37.3683333333333,140.33,249,"a"
514,7,"梁川","yanagawa",36,"0281",37.8516666666667,140.588333333333,43,"a"
515,8,"稲荷峠","inaritouge",36,"0282",37.7566666666667,139.735,800,"a"
516,9,"吾妻山","azumayama",36,"0283",37.7216666666667,140.275,1300,"a"
517,10,"福島","fukushima",36,"47595",37.7583333333333,140.47,67.4,"s"
518,11,"喜多方","kitakata",36,"0286",37.6583333333333,139.863333333333,212,"a"
519,12,"八木沢","yagisawa",36,"0287",37.6966666666667,140.82,540,"a"
520,13,"原町","haramachi",36,"0288",37.6383333333333,140.983333333333,17,"a"
521,14,"飯谷山","meshitaniyama",36,"0289",37.5266666666667,139.683333333333,720,"a"
522,15,"猪苗代","inawashiro",36,"0290",37.5516666666667,140.108333333333,519,"a"
523,16,"二本松","nihonmatsu",36,"0291",37.5833333333333,140.43,235,"a"
524,17,"白馬石山","hakubaishiyama",36,"0292",37.58,140.725,640,"a"
525,18,"若松","wakamatsu",36,"47570",37.4883333333333,139.91,211.7,"s"
526,19,"船引","funehiki",36,"0294",37.435,140.576666666667,421,"a"
527,20,"浅草岳","asakusagaku",36,"0296",37.3433333333333,139.236666666667,1520,"a"
528,21,"只見","tadami",36,"0297",37.3433333333333,139.313333333333,377,"a"
529,22,"博士峠","hakasetouge",36,"0298",37.34,139.723333333333,1233,"a"
530,23,"富岡","tomioka",36,"0300",37.3466666666667,141.016666666667,50,"a"
531,24,"南郷","nangou",36,"0301",37.265,139.536666666667,494,"a"
532,25,"駒止峠","komashitouge",36,"0302",37.21,139.613333333333,1145,"a"
533,26,"田島","tajima",36,"0303",37.2066666666667,139.795,544,"a"
534,27,"観音山","kannonyama",36,"0305",37.1833333333333,139.925,1050,"a"
535,28,"白河","shirakawa",36,"47597",37.1316666666667,140.215,355,"s"
536,29,"石川","ishikawa",36,"0307",37.1466666666667,140.46,290,"a"
537,30,"山王峠","sannoutouge",36,"0308",37.0683333333333,139.731666666667,1080,"a"
538,31,"大辷山","daisuberiyama",36,"0309",37.08,140.636666666667,688,"a"
539,32,"平","taira",36,"0310",37.065,140.876666666667,12,"a"
540,33,"田代山","tashiroyama",36,"0311",36.98,139.481666666667,1920,"a"
541,34,"東白川","higashishirakawa",36,"0312",36.9383333333333,140.408333333333,183,"a"
542,35,"小名浜","onahama",36,"47598",36.9466666666667,140.903333333333,3.3,"s"
543,36,"西会津","nishiaizu",36,"1031",37.5883333333333,139.656666666667,165,"a"
544,37,"金山","kanayama",36,"1044",37.4733333333333,139.528333333333,296,"a"
545,38,"鷲倉","washikura",36,"1116",37.6683333333333,140.26,1220,"a"
546,39,"上遠野","uetoono",36,"1127",37.0083333333333,140.736666666667,125,"a"
547,40,"飯舘","meshikan",36,"1130",37.665,140.726666666667,460,"a"
548,41,"津島","tsushima",36,"1150",37.56,140.753333333333,400,"a"
549,42,"長沼","naganuma",36,"1268",37.2883333333333,140.218333333333,317,"a"
550,43,"舘岩","kaniwa",36,"1269",37.0916666666667,139.531666666667,690,"a"
551,44,"川前","kawamae",36,"1274",37.2466666666667,140.723333333333,492,"a"
552,45,"桧原","hibara",36,"1282",37.7216666666667,140.058333333333,824,"a"
553,46,"茂庭","moniwa",36,"1293",37.8916666666667,140.436666666667,200,"a"
554,47,"湯本","yumoto",36,"1294",37.2766666666667,140.063333333333,640,"a"
555,48,"桧枝岐","hieki",36,"1295",37.01,139.375,973,"a"
556,49,"吉尾峠","kichiotouge",36,"1359",37.3466666666667,139.556666666667,705,"a"
557,50,"六十里越","rokujuusatoetsu",36,"1364",37.3033333333333,139.216666666667,860,"a"
558,51,"湖南","mizuumiminami",36,"1386",37.3883333333333,140.09,536,"a"
559,52,"玉川","tamagawa",36,"1466",37.2266666666667,140.426666666667,372,"a"
560,53,"山田","yamada",36,"1607",36.9333333333333,140.733333333333,25,"a"
561,54,"新地","shinchi",36,"1633",37.875,140.918333333333,10,"a"
562,55,"古殿","furudono",36,"1634",37.09,140.56,347,"a"
563,1,"花園","hanazono",40,"0314",36.8683333333333,140.636666666667,370,"a"
564,2,"北茨城","kitaibaraki",40,"0315",36.8333333333333,140.771666666667,5,"a"
565,3,"大子","daiko",40,"0316",36.7783333333333,140.345,120,"a"
566,4,"神峰山","kamimineyama",40,"0317",36.6333333333333,140.608333333333,592,"a"
567,5,"笠間","kasama",40,"0318",36.395,140.24,72,"a"
568,6,"水戸","mito",40,"47629",36.38,140.466666666667,29,"s"
569,7,"古河","koga",40,"0320",36.2016666666667,139.716666666667,20,"a"
570,8,"愛宕山","atagoyama",40,"0321",36.29,140.255,280,"a"
571,9,"下妻","shimozuma",40,"0322",36.1683333333333,139.945,20,"a"
572,10,"坂東","bandou",40,"0323",36.035,139.893333333333,16,"a"
573,11,"土浦","tsuchiura",40,"0324",36.1033333333333,140.22,26,"a"
574,12,"鹿嶋","kashima",40,"0325",35.9633333333333,140.621666666667,37,"a"
575,13,"江戸崎","edosaki",40,"0911",35.96,140.32,25,"a"
576,14,"日立","hitachi",40,"1011",36.58,140.645,34,"a"
577,15,"柿岡","kakioka",40,"1012",36.2333333333333,140.188333333333,27,"a"
578,16,"美野里","minori",40,"1013",36.2366666666667,140.325,25,"a"
579,17,"龍ケ崎","ryuukesaki",40,"1014",35.89,140.211666666667,4,"a"
580,18,"筑波山","tsukubasan",40,"1082",36.225,140.098333333333,868,"a"
581,19,"中野","nakano",40,"1170",36.515,140.473333333333,17,"a"
582,20,"徳田","tokuda",40,"1173",36.7783333333333,140.481666666667,270,"a"
583,21,"鉾田","hokota",40,"1245",36.1683333333333,140.526666666667,32,"a"
584,22,"常陸大宮","hitachioomiya",40,"1331",36.6066666666667,140.325,95,"a"
585,23,"門井","moni",40,"1388",36.3333333333333,140.033333333333,40,"a"
586,24,"大能","dainou",40,"1421",36.7433333333333,140.593333333333,395,"a"
587,25,"つくば（館野）","tsukuba(tateno)",40,"47646",36.0566666666667,140.125,25.2,"s"
588,26,"下館","shimodate",40,"1530",36.2816666666667,139.988333333333,24,"a"
589,27,"高萩","takahagi",40,"1635",36.7066666666667,140.716666666667,4,"a"
590,28,"常総","jousou",40,"1661",36.1133333333333,139.98,15,"a"
591,1,"那須高原","nasukougen",41,"0326",37.1233333333333,140.035,749,"a"
592,2,"黒田原","kurodahara",41,"0327",37.02,140.12,340,"a"
593,3,"八方が原","happougahara",41,"0328",36.92,139.833333333333,1087,"a"
594,4,"黒磯","kuroiso",41,"0329",36.9816666666667,140.018333333333,343,"a"
595,5,"八溝山","hachimizoyama",41,"0330",36.9366666666667,140.258333333333,800,"a"
596,6,"大田原","ootawara",41,"0331",36.84,140.035,188,"a"
597,7,"奥日光（日光）","okunikkou(nikkou)",41,"47690",36.7383333333333,139.5,1291.9,"s"
598,8,"方塞山","housaiyama",41,"0333",36.63,139.508333333333,1385,"a"
599,9,"高根沢","takanesawa",41,"0334",36.6066666666667,139.998333333333,148,"a"
600,10,"鹿沼","kanuma",41,"0335",36.5916666666667,139.735,165,"a"
601,11,"宇都宮","utsunomiya",41,"47615",36.5483333333333,139.868333333333,119.4,"s"
602,12,"葛生","kuzuu",41,"0337",36.4316666666667,139.59,120,"a"
603,13,"真岡","mooka",41,"0338",36.4766666666667,139.986666666667,91,"a"
604,14,"足利","ashikaga",41,"0339",36.3016666666667,139.473333333333,28,"a"
605,15,"栃木","tochigi",41,"0340",36.3733333333333,139.703333333333,65,"a"
606,16,"小山","oyama",41,"0341",36.3383333333333,139.83,44,"a"
607,17,"五十里","gojuusato",41,"1015",36.9216666666667,139.695,620,"a"
608,18,"足尾","sokubi",41,"1016",36.6466666666667,139.448333333333,650,"a"
609,19,"烏山","karasuyama",41,"1017",36.65,140.146666666667,162,"a"
610,20,"佐野","sano",41,"1018",36.3633333333333,139.57,68,"a"
611,21,"土呂部","dorobu",41,"1221",36.8916666666667,139.568333333333,925,"a"
612,22,"今市","imaichi",41,"1333",36.7266666666667,139.676666666667,414,"a"
613,23,"塩谷","shioya",41,"1334",36.7566666666667,139.883333333333,225,"a"
614,24,"那須烏山","nasukarasuyama",41,"1605",36.6416666666667,140.116666666667,82,"a"
615,1,"前武尊","maebuson",42,"0342",36.7683333333333,139.163333333333,1530,"a"
616,2,"草津","kusatsu",42,"0343",36.6166666666667,138.591666666667,1223,"a"
617,3,"野反湖","nohanmizuumi",42,"0344",36.69,138.65,1570,"a"
618,4,"雨見山","amekenyama",42,"0345",36.6866666666667,138.863333333333,825,"a"
619,5,"沼田","numata",42,"0346",36.6683333333333,139.021666666667,390,"a"
620,6,"赤城山","akagiyama",42,"0347",36.54,139.175,1660,"a"
621,7,"田代","tashiro",42,"0348",36.4633333333333,138.463333333333,1230,"a"
622,8,"榛名山","harunayama",42,"0349",36.4716666666667,138.873333333333,1088,"a"
623,9,"前橋","maebashi",42,"47624",36.405,139.06,112.1,"s"
624,10,"桐生","kiryuu",42,"0351",36.41,139.325,117,"a"
625,11,"一の字山","ichinojiyama",42,"0352",36.3716666666667,138.658333333333,1170,"a"
626,12,"上里見","uesatomi",42,"0353",36.3766666666667,138.895,183,"a"
627,13,"西野牧","nishinomaki",42,"0354",36.245,138.706666666667,375,"a"
628,14,"藤岡","fujioka",42,"0355",36.2416666666667,139.07,95,"a"
629,15,"館林","tatebayashi",42,"0356",36.2333333333333,139.531666666667,21,"a"
630,16,"稲含山","ineganyama",42,"0357",36.17,138.863333333333,780,"a"
631,17,"みなかみ","minakami",42,"1019",36.8,138.991666666667,531,"a"
632,18,"中之条","nakanojou",42,"1020",36.5866666666667,138.85,354,"a"
633,19,"伊勢崎","isesaki",42,"1021",36.3316666666667,139.165,64,"a"
634,20,"片品","henhin",42,"1174",36.7716666666667,139.238333333333,860,"a"
635,21,"藤原","fujiwara",42,"1222",36.8633333333333,139.058333333333,700,"a"
636,22,"神流","kamiryuu",42,"1223",36.1083333333333,138.896666666667,357,"a"
637,23,"黒保根","kurohone",42,"1259",36.5016666666667,139.283333333333,285,"a"
638,24,"高手山","takateyama",42,"1375",36.75,139.098333333333,1115,"a"
639,1,"熊谷","kumagaya",43,"47626",36.15,139.38,30,"s"
640,2,"久喜","kuki",43,"0359",36.0866666666667,139.635,12,"a"
641,3,"秩父","chichibu",43,"47641",35.99,139.073333333333,232.1,"s"
642,4,"堂平","doutaira",43,"0361",36.005,139.19,876,"a"
643,5,"飯能","hannou",43,"0362",35.8383333333333,139.321666666667,84,"a"
644,6,"さいたま","saitama",43,"0363",35.875,139.586666666667,8,"a"
645,7,"越谷","koshigaya",43,"0364",35.8833333333333,139.756666666667,3,"a"
646,8,"三峰","sanmine",43,"1000",35.9266666666667,138.923333333333,975,"a"
647,9,"寄居","yorikyo",43,"1009",36.105,139.183333333333,128,"a"
648,10,"鴻巣","kounosu",43,"1069",36.065,139.521666666667,15,"a"
649,11,"所沢","tokorozawa",43,"1070",35.7733333333333,139.413333333333,119,"a"
650,12,"浦山","urayama",43,"1159",35.92,139.07,400,"a"
651,13,"上吉田","ueyoshida",43,"1182",36.0533333333333,138.98,275,"a"
652,14,"鳩山","hatoyama",43,"1232",35.985,139.335,44,"a"
653,15,"ときがわ","tokigawa",43,"1497",35.99,139.206666666667,295,"a"
654,1,"小河内","ogawanai",44,"0365",35.7916666666667,139.05,530,"a"
655,2,"八王子","hachiouji",44,"0366",35.6666666666667,139.316666666667,123,"a"
656,3,"調布","choufu",44,"0367",35.6683333333333,139.53,41,"a"
657,4,"世田谷","setagaya",44,"0368",35.6266666666667,139.62,35,"a"
658,5,"東京","toukyou",44,"47662",35.6916666666667,139.75,25.2,"s"
659,6,"江戸川臨海","edogawarinkai",44,"0370",35.6383333333333,139.863333333333,5,"a"
660,7,"羽田","haneda",44,"0371",35.5533333333333,139.78,6,"a"
661,8,"大島","ooshima",44,"47675",34.7483333333333,139.361666666667,74,"s"
662,9,"三宅島","miyakeshima",44,"47677",34.1233333333333,139.52,37.9,"s"
663,10,"八丈島","hachijoujima",44,"47678",33.1216666666667,139.778333333333,151.2,"s"
664,11,"青梅","oume",44,"1001",35.7883333333333,139.311666666667,155,"a"
665,12,"練馬","nerima",44,"1002",35.7383333333333,139.591666666667,51,"a"
666,13,"府中","fuchuu",44,"1133",35.6833333333333,139.483333333333,59,"a"
667,14,"新島","niijima",44,"1134",34.3733333333333,139.251666666667,9,"a"
668,15,"小沢","ozawa",44,"1180",35.735,139.123333333333,420,"a"
669,16,"父島","chichijima",44,"47971",27.0916666666667,142.19,2.7,"s"
670,17,"大島北ノ山","ooshimakitanoyama",44,"1467",34.7816666666667,139.36,38,"a"
671,18,"八重見ヶ原","yaekenhara",44,"1468",33.115,139.785,92,"a"
672,19,"神津島","kouzushima",44,"1505",34.205,139.133333333333,28,"a"
673,20,"三宅坪田","miyaketsubota",44,"1506",34.0733333333333,139.56,20,"a"
674,21,"三宅島阿古","miyakeshimaako",44,"1509",34.08,139.481666666667,30,"a"
675,22,"新島","niijima",44,"1522",34.3683333333333,139.268333333333,29,"a"
676,23,"神津島","kouzushima",44,"1523",34.1883333333333,139.133333333333,138,"a"
677,24,"三宅伊豆","miyakeizu",44,"1525",34.12,139.503333333333,50,"a"
678,25,"南鳥島","minamitorishima",44,"47991",24.2883333333333,153.983333333333,7.1,"s"
679,26,"母島","hahashima",44,"1595",26.635,142.161666666667,32,"a"
680,27,"大島臨時","ooshimarinji",44,"1642",34.7483333333333,139.361666666667,90,"a"
681,28,"大島泉津","ooshimaizumitsu",44,"1643",34.7783333333333,139.421666666667,49,"a"
682,29,"大島差木地","ooshimasakiji",44,"1644",34.6833333333333,139.413333333333,41,"a"
683,30,"利島","toshima",44,"1646",34.5283333333333,139.281666666667,100,"a"
684,31,"青ヶ島","aoshima",44,"1648",32.4666666666667,139.76,272,"a"
685,1,"香取","katori",45,"0375",35.8583333333333,140.501666666667,37,"a"
686,2,"我孫子","abiko",45,"0376",35.8633333333333,140.11,20,"a"
687,3,"東庄","higashishou",45,"0377",35.8216666666667,140.685,52,"a"
688,4,"成田","narita",45,"0378",35.7633333333333,140.385,41,"a"
